"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 18 01:04:32 GMT 2023","Mon Dec 18 01:04:32 GMT 2023","741","","","","","","Adivinar una letra correcta -- @1.2 ",""
"broken","Mon Dec 18 01:04:32 GMT 2023","Mon Dec 18 01:04:33 GMT 2023","737","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"broken","Mon Dec 18 01:05:15 GMT 2023","Mon Dec 18 01:05:15 GMT 2023","748","","","","","","Reinicia el juego -- @1.1 ",""
"broken","Mon Dec 18 01:04:33 GMT 2023","Mon Dec 18 01:04:34 GMT 2023","737","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"broken","Mon Dec 18 01:05:15 GMT 2023","Mon Dec 18 01:05:16 GMT 2023","751","","","","","","Reinicia el juego -- @1.2 ",""
"broken","Mon Dec 18 01:04:21 GMT 2023","Mon Dec 18 01:04:31 GMT 2023","10177","","","","","","Empezar nuevo juego",""
"broken","Mon Dec 18 01:04:34 GMT 2023","Mon Dec 18 01:05:15 GMT 2023","40772","","","","","","Pierde el juego",""
"broken","Mon Dec 18 01:04:31 GMT 2023","Mon Dec 18 01:04:32 GMT 2023","759","","","","","","Adivinar una letra correcta -- @1.1 ",""
