"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 22:15:09 GMT 2024","Tue Feb 20 22:15:10 GMT 2024","1053","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Tue Feb 20 22:15:07 GMT 2024","Tue Feb 20 22:15:08 GMT 2024","972","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Tue Feb 20 22:15:05 GMT 2024","Tue Feb 20 22:15:06 GMT 2024","1016","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Tue Feb 20 22:15:04 GMT 2024","Tue Feb 20 22:15:05 GMT 2024","1016","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Tue Feb 20 22:15:08 GMT 2024","Tue Feb 20 22:15:09 GMT 2024","1516","","","","","","Pierde el juego",""
"passed","Tue Feb 20 22:15:06 GMT 2024","Tue Feb 20 22:15:07 GMT 2024","989","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Tue Feb 20 22:15:03 GMT 2024","Tue Feb 20 22:15:04 GMT 2024","1205","","","","","","Empezar nuevo juego",""
"passed","Tue Feb 20 22:15:10 GMT 2024","Tue Feb 20 22:15:12 GMT 2024","1268","","","","","","Reinicia el juego -- @1.2 ",""
