"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Dec 09 02:20:40 GMT 2023","Sat Dec 09 02:20:40 GMT 2023","663","","","","","","Pierde el juego",""
"broken","Sat Dec 09 02:20:38 GMT 2023","Sat Dec 09 02:20:38 GMT 2023","662","","","","","","Adivinar una letra correcta -- @1.2 ",""
"broken","Sat Dec 09 02:20:40 GMT 2023","Sat Dec 09 02:20:41 GMT 2023","662","","","","","","Reinicia el juego -- @1.1 ",""
"broken","Sat Dec 09 02:20:32 GMT 2023","Sat Dec 09 02:20:37 GMT 2023","5006","","","","","","Empezar nuevo juego",""
"broken","Sat Dec 09 02:20:41 GMT 2023","Sat Dec 09 02:20:42 GMT 2023","663","","","","","","Reinicia el juego -- @1.2 ",""
"broken","Sat Dec 09 02:20:38 GMT 2023","Sat Dec 09 02:20:39 GMT 2023","663","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"broken","Sat Dec 09 02:20:37 GMT 2023","Sat Dec 09 02:20:38 GMT 2023","666","","","","","","Adivinar una letra correcta -- @1.1 ",""
"broken","Sat Dec 09 02:20:39 GMT 2023","Sat Dec 09 02:20:40 GMT 2023","662","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
