"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 02:49:55 GMT 2023","Mon Dec 11 02:49:56 GMT 2023","934","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Mon Dec 11 02:49:57 GMT 2023","Mon Dec 11 02:49:58 GMT 2023","950","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Mon Dec 11 02:50:00 GMT 2023","Mon Dec 11 02:50:02 GMT 2023","1481","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Mon Dec 11 02:49:54 GMT 2023","Mon Dec 11 02:49:55 GMT 2023","1009","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Mon Dec 11 02:49:59 GMT 2023","Mon Dec 11 02:50:00 GMT 2023","994","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Mon Dec 11 02:49:58 GMT 2023","Mon Dec 11 02:49:59 GMT 2023","1423","","","","","","Pierde el juego",""
"passed","Mon Dec 11 02:49:56 GMT 2023","Mon Dec 11 02:49:57 GMT 2023","931","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Mon Dec 11 02:49:52 GMT 2023","Mon Dec 11 02:49:54 GMT 2023","1573","","","","","","Empezar nuevo juego",""
