"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 01:23:10 GMT 2023","Mon Dec 11 01:23:11 GMT 2023","1790","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Mon Dec 11 01:23:01 GMT 2023","Mon Dec 11 01:23:03 GMT 2023","2010","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Mon Dec 11 01:23:05 GMT 2023","Mon Dec 11 01:23:06 GMT 2023","1524","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Mon Dec 11 01:23:03 GMT 2023","Mon Dec 11 01:23:05 GMT 2023","1841","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Mon Dec 11 01:23:06 GMT 2023","Mon Dec 11 01:23:10 GMT 2023","3581","","","","","","Pierde el juego",""
"passed","Mon Dec 11 01:21:33 GMT 2023","Mon Dec 11 01:22:58 GMT 2023","85074","","","","","","Empezar nuevo juego",""
"passed","Mon Dec 11 01:22:58 GMT 2023","Mon Dec 11 01:23:01 GMT 2023","2913","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Mon Dec 11 01:23:11 GMT 2023","Mon Dec 11 01:23:14 GMT 2023","2550","","","","","","Reinicia el juego -- @1.2 ",""
