"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 02:12:15 GMT 2023","Mon Dec 11 02:12:16 GMT 2023","946","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Mon Dec 11 02:12:16 GMT 2023","Mon Dec 11 02:12:17 GMT 2023","954","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Mon Dec 11 02:11:59 GMT 2023","Mon Dec 11 02:12:13 GMT 2023","13623","","","","","","Empezar nuevo juego",""
"passed","Mon Dec 11 02:12:13 GMT 2023","Mon Dec 11 02:12:14 GMT 2023","1423","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Mon Dec 11 02:12:20 GMT 2023","Mon Dec 11 02:12:21 GMT 2023","987","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Mon Dec 11 02:12:14 GMT 2023","Mon Dec 11 02:12:15 GMT 2023","958","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Mon Dec 11 02:12:19 GMT 2023","Mon Dec 11 02:12:20 GMT 2023","1008","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Mon Dec 11 02:12:17 GMT 2023","Mon Dec 11 02:12:19 GMT 2023","1455","","","","","","Pierde el juego",""
