"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 09 03:36:47 GMT 2023","Sat Dec 09 03:36:48 GMT 2023","1482","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Sat Dec 09 03:36:55 GMT 2023","Sat Dec 09 03:36:57 GMT 2023","1534","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Sat Dec 09 03:35:34 GMT 2023","Sat Dec 09 03:36:47 GMT 2023","72211","","","","","","Empezar nuevo juego",""
"passed","Sat Dec 09 03:36:51 GMT 2023","Sat Dec 09 03:36:53 GMT 2023","1376","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Sat Dec 09 03:36:50 GMT 2023","Sat Dec 09 03:36:51 GMT 2023","1371","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Sat Dec 09 03:36:57 GMT 2023","Sat Dec 09 03:36:58 GMT 2023","1556","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Sat Dec 09 03:36:48 GMT 2023","Sat Dec 09 03:36:50 GMT 2023","1604","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Sat Dec 09 03:36:53 GMT 2023","Sat Dec 09 03:36:55 GMT 2023","2583","","","","","","Pierde el juego",""
