"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 02:00:38 GMT 2024","Fri Feb 23 02:00:39 GMT 2024","1209","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Fri Feb 23 02:00:45 GMT 2024","Fri Feb 23 02:00:46 GMT 2024","1004","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Fri Feb 23 02:00:42 GMT 2024","Fri Feb 23 02:00:44 GMT 2024","1379","","","","","","Pierde el juego",""
"passed","Fri Feb 23 02:00:39 GMT 2024","Fri Feb 23 02:00:40 GMT 2024","1373","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Fri Feb 23 02:00:41 GMT 2024","Fri Feb 23 02:00:42 GMT 2024","921","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Fri Feb 23 02:00:40 GMT 2024","Fri Feb 23 02:00:41 GMT 2024","1049","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Fri Feb 23 02:00:44 GMT 2024","Fri Feb 23 02:00:45 GMT 2024","997","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Fri Feb 23 01:59:24 GMT 2024","Fri Feb 23 02:00:38 GMT 2024","73608","","","","","","Empezar nuevo juego",""
