"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 23:35:44 GMT 2024","Mon Feb 19 23:36:50 GMT 2024","65958","","","","","","Empezar nuevo juego",""
"passed","Mon Feb 19 23:36:54 GMT 2024","Mon Feb 19 23:36:55 GMT 2024","1481","","","","","","Pierde el juego",""
"passed","Mon Feb 19 23:36:53 GMT 2024","Mon Feb 19 23:36:54 GMT 2024","952","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Mon Feb 19 23:36:56 GMT 2024","Mon Feb 19 23:36:57 GMT 2024","982","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Mon Feb 19 23:36:50 GMT 2024","Mon Feb 19 23:36:51 GMT 2024","980","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Mon Feb 19 23:36:52 GMT 2024","Mon Feb 19 23:36:53 GMT 2024","936","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Mon Feb 19 23:36:51 GMT 2024","Mon Feb 19 23:36:52 GMT 2024","937","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Mon Feb 19 23:36:55 GMT 2024","Mon Feb 19 23:36:56 GMT 2024","985","","","","","","Reinicia el juego -- @1.1 ",""
