"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 02:04:12 GMT 2023","Mon Dec 11 02:04:14 GMT 2023","1540","","","","","","Pierde el juego",""
"passed","Mon Dec 11 02:04:08 GMT 2023","Mon Dec 11 02:04:09 GMT 2023","1160","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Mon Dec 11 02:04:01 GMT 2023","Mon Dec 11 02:04:08 GMT 2023","7098","","","","","","Empezar nuevo juego",""
"passed","Mon Dec 11 02:04:11 GMT 2023","Mon Dec 11 02:04:12 GMT 2023","971","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Mon Dec 11 02:04:15 GMT 2023","Mon Dec 11 02:04:16 GMT 2023","1110","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Mon Dec 11 02:04:10 GMT 2023","Mon Dec 11 02:04:11 GMT 2023","969","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Mon Dec 11 02:04:09 GMT 2023","Mon Dec 11 02:04:10 GMT 2023","976","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Mon Dec 11 02:04:14 GMT 2023","Mon Dec 11 02:04:15 GMT 2023","1057","","","","","","Reinicia el juego -- @1.1 ",""
