"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 02:39:28 GMT 2024","Fri Feb 23 02:39:29 GMT 2024","1229","","","","","","Reinicia el juego -- @1.2 ",""
"passed","Fri Feb 23 02:39:22 GMT 2024","Fri Feb 23 02:39:23 GMT 2024","1077","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Fri Feb 23 02:39:24 GMT 2024","Fri Feb 23 02:39:26 GMT 2024","1943","","","","","","Pierde el juego",""
"passed","Fri Feb 23 02:39:20 GMT 2024","Fri Feb 23 02:39:21 GMT 2024","1111","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Fri Feb 23 02:39:26 GMT 2024","Fri Feb 23 02:39:28 GMT 2024","1451","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Fri Feb 23 02:39:18 GMT 2024","Fri Feb 23 02:39:20 GMT 2024","1838","","","","","","Empezar nuevo juego",""
"passed","Fri Feb 23 02:39:21 GMT 2024","Fri Feb 23 02:39:22 GMT 2024","1140","","","","","","Adivinar una letra correcta -- @1.2 ",""
"passed","Fri Feb 23 02:39:23 GMT 2024","Fri Feb 23 02:39:24 GMT 2024","1193","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
